WRISTX,WRISTY,THUMB_CMCX,THUMB_CMCY,THUMB_MCPX,THUMB_MCPY,THUMB_IPX,THUMB_IPY,THUMB_TIPX,THUMB_TIPY,INDEX_FINGER_MCPX,INDEX_FINGER_MCPY,INDEX_FINGER_PIPX,INDEX_FINGER_PIPY,INDEX_FINGER_DIPX,INDEX_FINGER_DIPY,INDEX_FINGER_TIPX,INDEX_FINGER_TIPY,MIDDLE_FINGER_MCPX,MIDDLE_FINGER_MCPY,MIDDLE_FINGER_PIPX,MIDDLE_FINGER_PIPY,MIDDLE_FINGER_DIPX,MIDDLE_FINGER_DIPY,MIDDLE_FINGER_TIPX,MIDDLE_FINGER_TIPY,RING_FINGER_MCPX,RING_FINGER_MCPY,RING_FINGER_PIPX,RING_FINGER_PIPY,RING_FINGER_DIPX,RING_FINGER_DIPY,RING_FINGER_TIPX,RING_FINGER_TIPY,PINKY_MCPX,PINKY_MCPY,PINKY_PIPX,PINKY_PIPY,PINKY_DIPX,PINKY_DIPY,PINKY_TIPX,PINKY_TIPY
0.0,0.0,-0.11959287531806616,-0.17557251908396945,-0.15776081424936386,-0.361323155216285,-0.1984732824427481,-0.5012722646310432,-0.2366412213740458,-0.5903307888040712,0.0,-0.549618320610687,-0.13994910941475827,-0.7531806615776081,-0.2010178117048346,-0.8778625954198473,-0.24681933842239187,-1.0,0.010178117048346057,-0.5190839694656488,-0.2748091603053435,-0.628498727735369,-0.42493638676844786,-0.6844783715012722,-0.5267175572519084,-0.7582697201017812,-0.010178117048346057,-0.455470737913486,-0.3053435114503817,-0.4732824427480916,-0.28498727735368956,-0.36895674300254455,-0.21374045801526717,-0.3231552162849873,-0.058524173027989825,-0.37659033078880405,-0.2900763358778626,-0.37404580152671757,-0.272264631043257,-0.2900763358778626,-0.2035623409669211,-0.25190839694656486
0.0,0.0,-0.12373737373737374,-0.17676767676767677,-0.1590909090909091,-0.35858585858585856,-0.19444444444444445,-0.5,-0.2297979797979798,-0.5909090909090909,0.0,-0.5505050505050505,-0.13636363636363635,-0.7550505050505051,-0.19444444444444445,-0.8762626262626263,-0.23737373737373738,-1.0,0.012626262626262626,-0.5202020202020202,-0.2676767676767677,-0.6313131313131313,-0.41919191919191917,-0.6868686868686869,-0.5176767676767676,-0.76010101010101,-0.007575757575757576,-0.45707070707070707,-0.3005050505050505,-0.47474747474747475,-0.2828282828282828,-0.3712121212121212,-0.21212121212121213,-0.32323232323232326,-0.05555555555555555,-0.3787878787878788,-0.28535353535353536,-0.37626262626262624,-0.2702020202020202,-0.2904040404040404,-0.20202020202020202,-0.25
0.0,0.0,-0.11392405063291139,-0.17721518987341772,-0.1518987341772152,-0.3594936708860759,-0.19240506329113924,-0.5012658227848101,-0.23291139240506328,-0.5873417721518988,0.0,-0.5518987341772152,-0.13924050632911392,-0.7544303797468355,-0.1949367088607595,-0.8810126582278481,-0.2379746835443038,-1.0,0.010126582278481013,-0.5189873417721519,-0.2683544303797468,-0.6278481012658228,-0.4177215189873418,-0.6835443037974683,-0.5189873417721519,-0.7569620253164557,-0.007594936708860759,-0.45569620253164556,-0.3037974683544304,-0.47341772151898737,-0.2810126582278481,-0.3721518987341772,-0.21012658227848102,-0.3265822784810127,-0.05569620253164557,-0.3721518987341772,-0.28607594936708863,-0.3721518987341772,-0.2708860759493671,-0.2911392405063291,-0.2,-0.25063291139240507
0.0,0.0,-0.09367088607594937,-0.17468354430379746,-0.13164556962025317,-0.36455696202531646,-0.18227848101265823,-0.5012658227848101,-0.23544303797468355,-0.5873417721518988,0.0,-0.5468354430379747,-0.13924050632911392,-0.7518987341772152,-0.2,-0.8810126582278481,-0.2481012658227848,-1.0,0.005063291139240506,-0.5189873417721519,-0.27341772151898736,-0.6278481012658228,-0.4253164556962025,-0.6860759493670886,-0.5240506329113924,-0.7569620253164557,-0.020253164556962026,-0.45569620253164556,-0.30632911392405066,-0.47341772151898737,-0.28354430379746837,-0.369620253164557,-0.21518987341772153,-0.32151898734177214,-0.06582278481012659,-0.37468354430379747,-0.2911392405063291,-0.37468354430379747,-0.27341772151898736,-0.2911392405063291,-0.20253164556962025,-0.25063291139240507
0.0,0.0,-0.10606060606060606,-0.17676767676767677,-0.14393939393939395,-0.3611111111111111,-0.1919191919191919,-0.49747474747474746,-0.2398989898989899,-0.5833333333333334,0.0,-0.5505050505050505,-0.1414141414141414,-0.7525252525252525,-0.20202020202020202,-0.8813131313131313,-0.2474747474747475,-1.0,0.010101010101010102,-0.5202020202020202,-0.2676767676767677,-0.6262626262626263,-0.41919191919191917,-0.6843434343434344,-0.5202020202020202,-0.7575757575757576,-0.012626262626262626,-0.45707070707070707,-0.30303030303030304,-0.47474747474747475,-0.2803030303030303,-0.3712121212121212,-0.21212121212121213,-0.32575757575757575,-0.05808080808080808,-0.37626262626262624,-0.2878787878787879,-0.37373737373737376,-0.2727272727272727,-0.2904040404040404,-0.20202020202020202,-0.25252525252525254
0.0,0.0,-0.11557788944723618,-0.17587939698492464,-0.15326633165829145,-0.3592964824120603,-0.1934673366834171,-0.4949748743718593,-0.23869346733668342,-0.5829145728643216,0.0,-0.5527638190954773,-0.13819095477386933,-0.7537688442211056,-0.19597989949748743,-0.8793969849246231,-0.24120603015075376,-1.0,0.01256281407035176,-0.5201005025125628,-0.2663316582914573,-0.6256281407035176,-0.41708542713567837,-0.6809045226130653,-0.5125628140703518,-0.7587939698492462,-0.007537688442211055,-0.457286432160804,-0.3015075376884422,-0.4748743718592965,-0.27889447236180903,-0.3693467336683417,-0.20854271356783918,-0.32663316582914576,-0.05527638190954774,-0.3768844221105528,-0.28391959798994976,-0.3743718592964824,-0.2663316582914573,-0.2914572864321608,-0.19597989949748743,-0.25125628140703515
0.0,0.0,-0.11363636363636363,-0.17676767676767677,-0.15151515151515152,-0.35858585858585856,-0.19444444444444445,-0.494949494949495,-0.2398989898989899,-0.5808080808080808,0.0,-0.553030303030303,-0.1388888888888889,-0.7575757575757576,-0.19696969696969696,-0.8813131313131313,-0.24494949494949494,-1.0,0.010101010101010102,-0.5202020202020202,-0.2676767676767677,-0.6313131313131313,-0.41919191919191917,-0.6919191919191919,-0.5176767676767676,-0.7676767676767676,-0.010101010101010102,-0.4595959595959596,-0.30303030303030304,-0.47474747474747475,-0.2828282828282828,-0.3712121212121212,-0.21212121212121213,-0.32575757575757575,-0.05555555555555555,-0.3787878787878788,-0.2878787878787879,-0.37626262626262624,-0.2702020202020202,-0.29292929292929293,-0.20202020202020202,-0.25252525252525254
0.0,0.0,-0.12373737373737374,-0.17676767676767677,-0.16161616161616163,-0.35353535353535354,-0.20707070707070707,-0.48484848484848486,-0.25,-0.5707070707070707,0.0,-0.5505050505050505,-0.13636363636363635,-0.7550505050505051,-0.19696969696969696,-0.8813131313131313,-0.24242424242424243,-1.0,0.012626262626262626,-0.5176767676767676,-0.26515151515151514,-0.6313131313131313,-0.4166666666666667,-0.6893939393939394,-0.5176767676767676,-0.7626262626262627,-0.007575757575757576,-0.45707070707070707,-0.3005050505050505,-0.47474747474747475,-0.2777777777777778,-0.3712121212121212,-0.20959595959595959,-0.32323232323232326,-0.05555555555555555,-0.3787878787878788,-0.2828282828282828,-0.37373737373737376,-0.2702020202020202,-0.29292929292929293,-0.20202020202020202,-0.25
0.0,0.0,-0.12030075187969924,-0.17543859649122806,-0.16040100250626566,-0.3533834586466165,-0.20300751879699247,-0.48872180451127817,-0.24812030075187969,-0.5714285714285714,0.0,-0.5488721804511278,-0.13533834586466165,-0.7518796992481203,-0.19298245614035087,-0.8796992481203008,-0.23809523809523808,-1.0,0.012531328320802004,-0.518796992481203,-0.2631578947368421,-0.6290726817042607,-0.41604010025062654,-0.6917293233082706,-0.518796992481203,-0.7669172932330827,-0.005012531328320802,-0.45614035087719296,-0.2982456140350877,-0.47619047619047616,-0.2781954887218045,-0.3684210526315789,-0.21052631578947367,-0.3233082706766917,-0.05513784461152882,-0.37844611528822053,-0.2832080200501253,-0.37593984962406013,-0.2681704260651629,-0.2907268170426065,-0.20300751879699247,-0.2506265664160401
0.0,0.0,-0.12090680100755667,-0.17632241813602015,-0.15869017632241814,-0.35516372795969775,-0.20151133501259447,-0.48614609571788414,-0.24685138539042822,-0.5692695214105793,0.0,-0.5516372795969773,-0.1385390428211587,-0.7556675062972292,-0.1964735516372796,-0.8790931989924433,-0.24181360201511334,-1.0,0.010075566750629723,-0.5188916876574308,-0.26700251889168763,-0.6297229219143576,-0.42065491183879095,-0.6876574307304786,-0.5214105793450882,-0.7657430730478589,-0.010075566750629723,-0.45843828715365237,-0.3022670025188917,-0.47103274559193953,-0.2795969773299748,-0.3677581863979849,-0.21158690176322417,-0.3224181360201511,-0.05793450881612091,-0.3778337531486146,-0.28967254408060455,-0.37279596977329976,-0.27204030226700254,-0.28967254408060455,-0.2040302267002519,-0.2518891687657431
